"","current","previous","grads","current.code","Year","semester.chr","Year.1","semester.chr.1","index","Year.2","semester.chr.2","semester.display","semester4","longSemester","sem4"
"1","200011","199931","99C","00A",2000,"Spring",2000,"Spring",1,2000,"Spring","Spring 2000","2000A","Spring 2000","2000A"
"2","200021","200011","00A","00B",2000,"Summer",2000,"Summer",2,2000,"Summer","Summer 2000","2000B","Summer 2000","2000B"
"3","200031","200021","00B","00C",2000,"Fall",2000,"Fall",3,2000,"Fall","Fall 2000","2000C","Fall 2000","2000C"
"4","200111","200031","00C","01A",2001,"Spring",2001,"Spring",4,2001,"Spring","Spring 2001","2001A","Spring 2001","2001A"
"5","200121","200111","01A","01B",2001,"Summer",2001,"Summer",5,2001,"Summer","Summer 2001","2001B","Summer 2001","2001B"
"6","200131","200121","01B","01C",2001,"Fall",2001,"Fall",6,2001,"Fall","Fall 2001","2001C","Fall 2001","2001C"
"7","200211","200131","01C","02A",2002,"Spring",2002,"Spring",7,2002,"Spring","Spring 2002","2002A","Spring 2002","2002A"
"8","200221","200211","02A","02B",2002,"Summer",2002,"Summer",8,2002,"Summer","Summer 2002","2002B","Summer 2002","2002B"
"9","200231","200221","02B","02C",2002,"Fall",2002,"Fall",9,2002,"Fall","Fall 2002","2002C","Fall 2002","2002C"
"10","200311","200231","02C","03A",2003,"Spring",2003,"Spring",10,2003,"Spring","Spring 2003","2003A","Spring 2003","2003A"
"11","200321","200311","03A","03B",2003,"Summer",2003,"Summer",11,2003,"Summer","Summer 2003","2003B","Summer 2003","2003B"
"12","200331","200321","03B","03C",2003,"Fall",2003,"Fall",12,2003,"Fall","Fall 2003","2003C","Fall 2003","2003C"
"13","200411","200331","03C","04A",2004,"Spring",2004,"Spring",13,2004,"Spring","Spring 2004","2004A","Spring 2004","2004A"
"14","200421","200411","04A","04B",2004,"Summer",2004,"Summer",14,2004,"Summer","Summer 2004","2004B","Summer 2004","2004B"
"15","200431","200421","04B","04C",2004,"Fall",2004,"Fall",15,2004,"Fall","Fall 2004","2004C","Fall 2004","2004C"
"16","200511","200431","04C","05A",2005,"Spring",2005,"Spring",16,2005,"Spring","Spring 2005","2005A","Spring 2005","2005A"
"17","200521","200511","05A","05B",2005,"Summer",2005,"Summer",17,2005,"Summer","Summer 2005","2005B","Summer 2005","2005B"
